                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70484,                0.43093,                0.93629,                0.97428,                0.97276,                0.99012,                0.87799,                0.56152,                0.30109,                0.85196,              0.0033324,              0.0033324,              0.0033324
                      2,                0.73703,                0.46414,                0.94572,                0.97002,                0.97026,                0.98864,                0.86869,                0.58186,                0.31687,                0.86105,               0.005016,               0.005016,               0.005016
                      3,                0.78253,                0.51346,                 0.9626,                0.97098,                0.97024,                0.98912,                 0.8717,                0.57577,                0.31363,                0.86269,              0.0050495,              0.0050495,              0.0050495
                      4,                0.76522,                0.49327,                0.95671,                0.97486,                0.97515,                0.99025,                0.88464,                0.54536,                0.28481,                 0.8504,               0.002575,               0.002575,               0.002575
