                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2596,                  1.022,                 1.2937,                0.86762,                0.56108,                0.62342,                0.41608,                 1.3459,                0.86041,                 1.3763,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.2495,                 1.0252,                 1.2857,                0.84633,                0.55661,                0.59607,                0.39265,                 1.3468,                0.88202,                 1.3893,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.2492,                 1.0085,                 1.2864,                0.63451,                0.55045,                0.61344,                0.40656,                 1.3269,                0.85822,                 1.3566,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.2369,                0.99186,                  1.277,                0.85929,                0.56196,                 0.6125,                0.40839,                  1.333,                0.86401,                 1.3637,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.2508,                 0.9922,                 1.2871,                0.64419,                0.55956,                0.62001,                0.41549,                 1.3326,                0.83447,                 1.3701,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.2269,                0.99018,                 1.2767,                0.88017,                0.56055,                0.62903,                 0.4228,                 1.3292,                0.83911,                 1.3654,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.2251,                0.97807,                 1.2697,                0.87696,                0.56904,                0.62836,                0.42352,                 1.3134,                  0.831,                 1.3467,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.2183,                0.97075,                 1.2717,                0.58872,                0.65234,                0.62621,                0.42054,                 1.3056,                0.81053,                 1.3379,               0.000755,               0.000755,               0.000755
                     43,                 1.2215,                0.96004,                 1.2657,                0.86579,                0.57243,                0.62474,                0.41762,                 1.3277,                0.82674,                 1.3508,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.2059,                 0.9538,                 1.2599,                0.61657,                0.57928,                0.63124,                0.42791,                 1.3136,                  0.799,                 1.3415,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.2153,                 0.9558,                 1.2601,                0.63422,                 0.5708,                0.63352,                0.42436,                  1.316,                0.82114,                  1.346,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.2217,                0.95522,                 1.2626,                0.89985,                0.56208,                0.63913,                0.43205,                 1.3106,                0.80898,                 1.3353,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.2106,                0.94773,                  1.262,                0.55308,                0.69993,                0.64048,                0.42214,                 1.3208,                 0.8152,                 1.3459,             0.00069313,             0.00069313,             0.00069313
                     48,                  1.191,                 0.9369,                 1.2591,                 0.6356,                0.56685,                0.62376,                0.42035,                 1.3008,                0.80047,                 1.3416,             0.00068075,             0.00068075,             0.00068075
                     49,                  1.199,                 0.9382,                 1.2587,                0.62523,                0.56607,                0.62064,                0.41713,                 1.3149,                 0.8109,                 1.3429,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.2065,                0.93532,                  1.258,                  0.866,                0.57876,                0.62365,                0.42389,                 1.2974,                 0.8003,                 1.3342,               0.000656,               0.000656,               0.000656
                     51,                 1.2031,                0.93359,                 1.2468,                0.63361,                0.57401,                0.63073,                0.42536,                 1.3057,                0.80299,                  1.332,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.1886,                0.92111,                  1.244,                0.61663,                0.58576,                0.62791,                 0.4277,                 1.3014,                0.79546,                 1.3382,             0.00063125,             0.00063125,             0.00063125
