                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68138,                0.41392,                0.92702,                0.97361,                0.97087,                0.98871,                0.87574,                0.57385,                0.30506,                 0.8578,              0.0033324,              0.0033324,              0.0033324
                      2,                0.72429,                0.45338,                0.94107,                0.97495,                0.97031,                0.98933,                0.87243,                0.57793,                0.30863,                 0.8613,              0.0044661,              0.0044661,              0.0044661
                      3,                0.73618,                 0.4664,                0.94575,                0.97303,                 0.9735,                0.98933,                0.87763,                0.56083,                0.29797,                0.85501,              0.0033997,              0.0033997,              0.0033997
