                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7722,                0.49837,                0.96175,                0.96647,                0.96356,                0.98592,                0.85471,                0.61606,                 0.3476,                0.87326,              0.0033324,              0.0033324,              0.0033324
                      2,                0.79312,                0.52451,                  0.967,                0.96407,                 0.9607,                0.98581,                 0.8512,                0.62246,                0.35743,                0.87604,               0.005016,               0.005016,               0.005016
                      3,                0.82481,                 0.5631,                0.97894,                0.96473,                0.96615,                0.98693,                0.85786,                0.60715,                0.34069,                0.87369,              0.0050495,              0.0050495,              0.0050495
