                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68646,                0.42902,                0.93565,                0.98043,                0.97749,                0.99107,                0.89566,                0.51487,                 0.2628,                0.83626,              0.0033324,              0.0033324,              0.0033324
                      2,                0.70828,                0.44113,                0.93792,                0.97438,                0.97536,                0.99015,                0.88313,                0.53951,                0.28451,                0.84798,              0.0065338,              0.0065338,              0.0065338
                      3,                0.79545,                 0.5336,                0.96869,                 0.9673,                0.97149,                0.98853,                0.86965,                0.57461,                0.31628,                0.86361,              0.0096031,              0.0096031,              0.0096031
                      4,                0.85974,                0.59978,                0.99398,                0.96868,                0.97251,                0.98865,                0.87258,                 0.5691,                0.30725,                0.86153,               0.009406,               0.009406,               0.009406
                      5,                0.84731,                 0.5777,                0.98897,                0.96934,                0.97278,                0.98891,                0.87561,                0.56308,                0.30135,                0.86076,               0.009406,               0.009406,               0.009406
                      6,                 0.8346,                0.56347,                0.98477,                0.96956,                0.97325,                0.98904,                0.87715,                0.56049,                0.29806,                0.86037,               0.009208,               0.009208,               0.009208
                      7,                 0.8267,                0.55409,                0.98216,                 0.9697,                0.97448,                0.98923,                0.87876,                0.55799,                0.29532,                0.85954,                0.00901,                0.00901,                0.00901
                      8,                0.82051,                0.54755,                0.97947,                0.96962,                0.97414,                 0.9893,                0.87942,                0.55709,                0.29324,                0.85933,               0.008812,               0.008812,               0.008812
                      9,                0.81586,                0.54416,                 0.9781,                0.97029,                0.97491,                0.98938,                0.88038,                0.55547,                0.29138,                0.85879,               0.008614,               0.008614,               0.008614
                     10,                0.81122,                0.53826,                0.97606,                  0.971,                0.97527,                0.98932,                0.88125,                0.55393,                0.29006,                0.85815,               0.008416,               0.008416,               0.008416
                     11,                0.80781,                0.53392,                 0.9739,                0.97065,                0.97589,                0.98938,                0.88224,                0.55188,                0.28865,                0.85716,               0.008218,               0.008218,               0.008218
                     12,                0.80575,                0.53071,                0.97323,                0.97085,                 0.9755,                0.98933,                0.88315,                0.54923,                0.28731,                0.85632,                0.00802,                0.00802,                0.00802
                     13,                0.80024,                0.52723,                0.97138,                0.97164,                0.97508,                0.98949,                0.88382,                0.54772,                0.28562,                0.85575,               0.007822,               0.007822,               0.007822
                     14,                0.79858,                0.52455,                 0.9706,                0.97121,                0.97604,                0.98961,                0.88477,                0.54605,                0.28387,                0.85487,               0.007624,               0.007624,               0.007624
                     15,                0.79302,                0.51942,                 0.9689,                0.97139,                0.97597,                 0.9897,                 0.8854,                0.54463,                0.28276,                 0.8542,               0.007426,               0.007426,               0.007426
                     16,                0.79005,                0.51531,                0.96749,                0.97187,                0.97595,                0.98987,                 0.8861,                0.54287,                0.28117,                 0.8533,               0.007228,               0.007228,               0.007228
                     17,                 0.7876,                0.51434,                0.96675,                0.97139,                0.97694,                0.98986,                 0.8866,                0.54179,                0.28038,                0.85289,                0.00703,                0.00703,                0.00703
