                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                0.78385,                0.50995,                0.96474,                  0.972,                0.97664,                0.99001,                0.88719,                0.54097,                0.27907,                0.85256,               0.006832,               0.006832,               0.006832
                     19,                0.78059,                0.50467,                0.96379,                0.97291,                0.97719,                0.99009,                0.88829,                0.53847,                0.27733,                0.85161,               0.006634,               0.006634,               0.006634
                     20,                0.77627,                 0.5028,                0.96175,                0.97358,                0.97728,                0.99027,                0.88906,                0.53616,                0.27618,                0.85059,               0.006436,               0.006436,               0.006436
                     21,                0.77395,                0.50016,                0.96075,                0.97492,                0.97669,                0.99026,                0.88975,                0.53477,                0.27466,                0.84991,               0.006238,               0.006238,               0.006238
                     22,                0.77067,                0.49667,                0.96003,                0.97412,                0.97298,                0.98688,                0.88699,                0.53359,                0.27369,                0.84945,                0.00604,                0.00604,                0.00604
                     23,                 0.7667,                0.49275,                0.95834,                0.97336,                0.97875,                0.99023,                 0.8904,                0.53225,                0.27297,                0.84917,               0.005842,               0.005842,               0.005842
                     24,                0.76243,                0.48944,                0.95767,                0.97336,                0.97875,                0.99029,                0.89122,                0.53046,                0.27203,                0.84865,               0.005644,               0.005644,               0.005644
                     25,                0.76016,                0.48597,                0.95599,                0.97389,                0.97893,                0.99049,                0.89204,                 0.5292,                0.27074,                0.84819,               0.005446,               0.005446,               0.005446
                     26,                0.75592,                0.48225,                0.95424,                0.97429,                 0.9793,                0.99059,                 0.8927,                0.52796,                0.26961,                0.84756,               0.005248,               0.005248,               0.005248
                     27,                0.75073,                0.47841,                0.95227,                0.97412,                0.97954,                0.99055,                0.89353,                0.52555,                0.26815,                0.84668,                0.00505,                0.00505,                0.00505
                     28,                0.74798,                0.47402,                0.95198,                0.97558,                0.97877,                0.99058,                0.89375,                0.52436,                0.26695,                0.84613,               0.004852,               0.004852,               0.004852
                     29,                0.74348,                0.47111,                 0.9496,                0.97581,                0.97895,                0.99059,                0.89488,                0.52316,                0.26545,                0.84549,               0.004654,               0.004654,               0.004654
                     30,                0.74012,                0.46683,                0.94798,                0.97538,                0.97937,                0.99063,                0.89623,                 0.5206,                 0.2641,                0.84466,               0.004456,               0.004456,               0.004456
                     31,                0.73519,                0.46254,                 0.9464,                0.97655,                0.97886,                0.99077,                0.89662,                0.51877,                0.26282,                0.84389,               0.004258,               0.004258,               0.004258
                     32,                0.73286,                0.45933,                0.94533,                0.97663,                0.97942,                0.99093,                0.89753,                0.51623,                0.26101,                0.84289,                0.00406,                0.00406,                0.00406
                     33,                0.72684,                0.45495,                0.94378,                0.97655,                0.98005,                0.99096,                0.89855,                0.51399,                0.25932,                0.84193,               0.003862,               0.003862,               0.003862
                     34,                0.72287,                0.45152,                0.94164,                0.97702,                0.98002,                0.99106,                0.89972,                0.51223,                0.25794,                0.84108,               0.003664,               0.003664,               0.003664
                     35,                0.71822,                0.44579,                0.94011,                 0.9777,                0.97972,                0.99105,                0.89993,                0.51089,                0.25668,                0.84058,               0.003466,               0.003466,               0.003466
                     36,                0.71332,                 0.4418,                0.93863,                0.97781,                0.98029,                0.99111,                 0.9005,                0.50886,                0.25534,                0.83988,               0.003268,               0.003268,               0.003268
                     37,                0.70773,                0.43735,                0.93674,                0.97854,                0.98005,                0.99115,                0.90145,                0.50687,                 0.2539,                0.83909,                0.00307,                0.00307,                0.00307
                     38,                0.70348,                0.43245,                0.93501,                0.97894,                0.97972,                0.99118,                0.90225,                0.50475,                 0.2523,                0.83826,               0.002872,               0.002872,               0.002872
                     39,                0.69706,                0.42674,                0.93295,                0.97884,                0.98061,                0.99126,                0.90324,                0.50272,                0.25091,                0.83753,               0.002674,               0.002674,               0.002674
                     40,                0.69306,                0.42364,                0.93154,                0.97824,                0.98187,                0.99127,                0.90433,                0.50054,                0.24945,                0.83656,               0.002476,               0.002476,               0.002476
                     41,                0.57045,                0.31726,                0.86091,                0.97972,                0.98138,                 0.9914,                0.90613,                0.49635,                0.24689,                0.83568,               0.002278,               0.002278,               0.002278
                     42,                0.55937,                0.30933,                0.85646,                 0.9808,                0.98192,                0.99163,                 0.9082,                0.49089,                0.24382,                0.83401,                0.00208,                0.00208,                0.00208
                     43,                0.54896,                0.30112,                0.85252,                0.98069,                0.98261,                0.99171,                0.90961,                0.48606,                 0.2409,                0.83223,               0.001882,               0.001882,               0.001882
                     44,                0.54036,                0.29394,                0.84988,                0.98117,                0.98316,                 0.9917,                0.91156,                0.48129,                 0.2383,                 0.8305,               0.001684,               0.001684,               0.001684
                     45,                0.53112,                0.28622,                0.84627,                0.98264,                0.98224,                0.99187,                0.91331,                0.47703,                0.23572,                0.82892,               0.001486,               0.001486,               0.001486
                     46,                0.52187,                0.27918,                0.84377,                0.98328,                0.98239,                0.99198,                0.91453,                0.47347,                0.23315,                0.82768,               0.001288,               0.001288,               0.001288
                     47,                0.51244,                0.27226,                0.84061,                0.98282,                0.98362,                0.99203,                0.91585,                0.47006,                0.23103,                0.82646,                0.00109,                0.00109,                0.00109
                     48,                0.50186,                0.26371,                0.83792,                0.98357,                0.98354,                0.99212,                0.91707,                0.46675,                0.22902,                0.82527,               0.000892,               0.000892,               0.000892
                     49,                0.49214,                0.25601,                0.83414,                0.98335,                0.98435,                0.99221,                0.91829,                 0.4641,                0.22676,                0.82415,               0.000694,               0.000694,               0.000694
                     50,                  0.483,                0.24801,                0.83176,                0.98378,                0.98399,                0.99227,                0.91915,                0.46135,                0.22482,                 0.8231,               0.000496,               0.000496,               0.000496
