                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85644,                0.65604,                0.99194,                0.93196,                0.92564,                0.96651,                0.78902,                0.73906,                0.50767,                 0.9179,              0.0033324,              0.0033324,              0.0033324
                      2,                0.91566,                0.70954,                 1.0106,                0.93883,                0.93777,                0.97454,                0.80744,                  0.709,                0.45915,                0.90556,              0.0053459,              0.0053459,              0.0053459
                      3,                0.94562,                0.72511,                 1.0248,                0.95194,                0.94945,                0.97917,                0.82233,                0.67544,                0.41849,                0.89996,              0.0060394,              0.0060394,              0.0060394
                      4,                0.90236,                 0.6538,                 1.0092,                0.96201,                0.96468,                0.98596,                0.85384,                0.61712,                0.34896,                0.87711,                0.00406,                0.00406,                0.00406
