                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74995,                0.47543,                0.95319,                0.96911,                0.96825,                0.98794,                0.86501,                0.59445,                0.32807,                0.86601,              0.0033324,              0.0033324,              0.0033324
                      2,                0.75427,                0.48363,                0.95241,                0.96941,                0.96826,                0.98778,                0.86382,                0.59408,                0.32909,                0.86647,              0.0044661,              0.0044661,              0.0044661
                      3,                0.76065,                0.49243,                0.95479,                0.97195,                0.96989,                 0.9887,                0.87145,                0.57729,                0.31204,                0.86177,              0.0033997,              0.0033997,              0.0033997
