                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63652,                0.38069,                0.91595,                0.97968,                 0.9806,                0.99142,                0.90371,                0.49647,                0.25118,                0.82918,              0.0033324,              0.0033324,              0.0033324
                      2,                0.68779,                0.42397,                 0.9298,                0.97516,                0.97418,                0.99028,                0.88501,                0.53535,                 0.2879,                0.84617,              0.0065338,              0.0065338,              0.0065338
                      3,                 0.7978,                0.53904,                0.96979,                0.96964,                0.97217,                0.98864,                0.87016,                0.57573,                0.31401,                0.86376,              0.0096031,              0.0096031,              0.0096031
                      4,                0.85814,                0.59728,                0.99263,                0.96741,                0.97368,                0.98873,                0.87374,                0.56512,                0.30506,                0.86079,               0.009406,               0.009406,               0.009406
                      5,                0.83698,                0.56828,                0.98406,                0.97096,                0.97226,                0.98899,                0.87817,                0.55821,                0.29656,                0.85929,               0.009406,               0.009406,               0.009406
                      6,                0.82047,                0.54985,                0.97797,                0.97118,                0.97349,                0.98917,                0.88007,                0.55447,                 0.2911,                0.85782,               0.009208,               0.009208,               0.009208
                      7,                0.81161,                0.54015,                0.97486,                0.97335,                0.97248,                0.98946,                0.88221,                0.55215,                0.28783,                0.85685,                0.00901,                0.00901,                0.00901
                      8,                 0.8077,                0.53465,                0.97363,                0.97313,                0.97359,                0.98956,                0.88364,                0.54922,                0.28547,                0.85581,               0.008812,               0.008812,               0.008812
                      9,                0.80226,                0.52988,                0.97135,                0.97265,                0.97462,                0.98976,                0.88484,                0.54681,                0.28346,                0.85479,               0.008614,               0.008614,               0.008614
                     10,                  0.797,                0.52416,                0.96934,                0.97308,                0.97502,                0.98988,                0.88531,                0.54426,                0.28202,                 0.8539,               0.008416,               0.008416,               0.008416
                     11,                0.79377,                0.52104,                0.96795,                0.97297,                0.97543,                0.98986,                0.88617,                0.54185,                0.28047,                0.85297,               0.008218,               0.008218,               0.008218
                     12,                0.79132,                0.51766,                0.96609,                0.97333,                0.97586,                0.98993,                0.88689,                0.53927,                0.27901,                0.85194,                0.00802,                0.00802,                0.00802
                     13,                0.78686,                0.51468,                0.96512,                0.97441,                0.97536,                0.98997,                0.88719,                0.53712,                0.27779,                0.85109,               0.007822,               0.007822,               0.007822
                     14,                0.78498,                0.51192,                0.96482,                0.97488,                 0.9751,                0.99003,                0.88812,                0.53597,                0.27691,                 0.8506,               0.007624,               0.007624,               0.007624
                     15,                0.77995,                0.50742,                0.96327,                0.97412,                0.97592,                 0.9902,                0.88897,                0.53416,                0.27605,                0.84987,               0.007426,               0.007426,               0.007426
                     16,                0.77826,                0.50419,                0.96215,                0.97353,                0.97685,                0.99025,                0.88946,                0.53327,                0.27496,                0.84945,               0.007228,               0.007228,               0.007228
